product_key,item_code,item_description,item_type
162,11037,EZRA BROOKS BOURBON - 750ML,LIQUOR
163,11055,AUSTIN ORIGINAL CIDER 4/6 CANS,BEER
164,11056,AUSTIN PINEAPPLE CIDER - 12.OZ 4/6 CAN,BEER
165,11057,AUSTIN TEXAS HONEY CIDER - 12.OZ 4/6 CAN,BEER
166,11062,LONG TRAIL GREEN BLAZE - 12.OZ 4/6 CAN,BEER
167,11070,SEMPE ARMAGNAC VSOP - 750ML,LIQUOR
168,11084,SHINSHU MARS IWAI JAPANESE WHISKY - 750ML,LIQUOR
169,11085,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,LIQUOR
170,11086,WHISTLEPIG 15YR STRAIGHT RYE WHISKEY - 750ML,LIQUOR
171,11088,EVAN WILLIAMS BLACK SOUR MASH 7YR - 750ML,LIQUOR
172,11118,BULLEIT BOURBON - 750ML,LIQUOR
173,11142,K JACKSON GRAND RES MER - 750ML,WINE
174,11169,ANCIENT AGE BOURBON - 750ML,LIQUOR
175,111708,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE
176,111740,LUSTAU OE INDIA SOLERA SHERRY - 750ML,WINE
177,11175,PICAROON OVERPROOF WHITE RUM - 1L,LIQUOR
178,112,CORKSCREW,REF
179,11207,MAKER'S MARK 90P - 1L,LIQUOR
180,11215,BLACK BOX SHIRAZ 6/CS - 3L,WINE
181,112283,DI LENARDO P/GRIG - 750ML,WINE
182,11231,WILD TURKEY 101P - 1.75L,LIQUOR
183,11266,MALIBU RUM - 1L,LIQUOR
184,112720,RASHI LIGHT PINK CONCORD - 750ML,WINE
185,112739,RASHI LIGHT RED CONCORD - 750ML,WINE
186,11274,BLACKSTONE CALIF MER - 1.5L,WINE
187,112771,RASHI LIGHT WHITE CONCORD - 750ML,WINE
188,112917,TIAMO PINOT GRIGIO - 750ML,WINE
189,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES
190,11307,AFROHEAD BRILAND 07 AGED RUM - 750ML,LIQUOR
191,11310,TEMPUS FUGIT SPIRITS GRAN CLASS BITTERS - 750ML,LIQUOR
192,11316,FEW RYE WHISKEY - 750ML,LIQUOR
193,11317,FEW BREAKFAST GIN - 750ML,LIQUOR
194,11320,WENTE CHARLES WETMORE RES CAB - 750ML,WINE
195,11339,JOSEPH CARTRON TRIPLE SEC - 750ML,LIQUOR
196,11341,LIQUEUR DE VIOLETTES - 750ML,LIQUOR
197,113441,SPY VALLEY MARLBOROUGH S/BLC - 750ML,WINE
198,11350,CRUZAN AGED RUM 151 PROOF - 1L,LIQUOR
199,11354,STILLWATER EXTRA DRY - 16.OZ 6/4 CAN,BEER
200,11358,OMMEGANG WITTE - 12.OZ 4/6NR,BEER
201,11359,OMMEGANG RARE VOS - 12.OZ 4/6 NR,BEER
202,11360,LAGUNITAS 12TH OF NEVER - 12.OZ 2/12 CAN,BEER
203,11373,THE POGUES IRISH WHISKEY - 750ML,LIQUOR
204,11374,ETRUSCO AMARO - 750ML,LIQUOR
205,11375,LA FOGATA TEQUILA - PLATINUM - 750ML,LIQUOR
206,11376,BOBBY'S GIN - 750ML,LIQUOR
207,11380,FLOR DE CANA RUM - CENTENARIO - 750ML,LIQUOR
208,11383,SKYY INFUSIONS TROPICAL MANGO - 750ML,LIQUOR
209,11391,JUNIPERO GIN - 750ML,LIQUOR
210,11395,CRUZAN RUM 151 PROOF - 750ML,LIQUOR
211,114,WINE PAPER GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES
212,11402,BLACK JOE COFFEE - 750ML,LIQUOR
213,11418,WEST CORK IRISH WHISKEY 10 YEAR - 750ML,LIQUOR
214,114243,BELLEFON CUV DES MOINES BRUT - 750ML,WINE
215,114324,CHALK HILL EB CHARD - 750ML,WINE
216,11436,SVEDKA VODKA - CITRON - 750ML,LIQUOR
217,11446,NOBILO REGIONAL COLLECTION CHARD - 750ML,WINE
218,11448,DEEP EDDY RUBY RED GRAPEFRUIT VODKA - 375ML,LIQUOR
219,11452,JACKSON MORGAN PEPPERMINT MOCHA - 750ML,LIQUOR
220,11453,JACKSON MORGAN SALTED CARAMEL - 750ML,LIQUOR
221,11454,BALTIMORE 1904 GINGER APPLE LIQ - 750ML,LIQUOR
222,11455,BALTIMORE SHOT TOWER GIN - 750ML,LIQUOR
223,11456,BALTIMORE SHOT TOWER GIN BARRELED - 750ML,LIQUOR
224,11457,RED EYE LOUIE'S VODQUILA - 750ML,LIQUOR
225,11458,LOST INHIBITIONS US RED PRUDE - 750ML,WINE
226,11462,JIM BEAM DOUBLE OAK BOURBON - 750ML,LIQUOR
227,11463,EFFEN VODKA - BLOOD ORANGE - 750ML,LIQUOR
228,11477,REISSDORF KOELSCH - 16.9 OZ 6/4 CAN,BEER
229,11482,MONKEY 47 - 375ML,LIQUOR
230,114936,VILLA JOLANDA PROSECCO - 750ML,WINE
231,11496,PEAK ORGANIC FRESH CUT PILS 4/6 CANS,BEER
232,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES
233,11509,DEKUYPER SIGN CR DE MENTHE WT - 1L,LIQUOR
234,115185,INDABA WESTERN CAPE MER - 750ML,WINE
235,11525,WILD TURKEY 81 - 1.75L,LIQUOR
236,115290,INDABA S/BLC WESTERN CAPE - 750ML,WINE
237,115320,DROUHIN MACON VIL BLC - 750ML,WINE
238,11536,STONE ARROGANT BASTARD 4/6 16.OZ CAN,BEER
239,11545,BRECKENRIDGE MANGO MOSAIC - 12OZ,BEER
240,11546,FOUNDERS BREAKFAST STOUT - 12OZ,BEER
241,11548,BRECKENRIDGE VAN PORTER - 16OZ CAN,BEER
242,11565,1792 SWEET WHEAT - 750ML,LIQUOR
243,11566,STONE IPA 2/12 CAN - 12OZ,BEER
244,11584,EVAN WILLIAMS GREEN BOURBON - 1.75L,LIQUOR
245,11592,EVAN WILLIAMS GREEN BOURBON - 750ML,LIQUOR
246,11593,BAVIK SUPER PILS - 11.2 6/4 CAN,BEER
247,116068,PRODUTTORI DEL BARB NEBB - 750ML,WINE
248,116114,LOUIS LATOUR CHARD ARDECHE - 750ML,WINE
249,11619,LA CATRINA CAB - 750ML,WINE
250,11622,VAMPIRE MERLOT - 750ML,WINE
251,11655,BURLEY OAK HOMEGROWN - 4/6 12.OZ CAN,BEER
252,11673,BEERSALIS SOUR BLEND - 11.2 6/4 NR,BEER
253,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES
254,11703,KENTUCKY GENTLEMAN - 1.75L,LIQUOR
255,11711,EARLY TIMES KENTUCKY WHISKEY - 1.75L,LIQUOR
256,11720,JIM BEAM BLACK - 1.75L,LIQUOR
257,11738,JIM BEAM BLACK - 750ML,LIQUOR
258,11746,MAKER'S MARK 90P - 750ML,LIQUOR
259,11762,JIM BEAM WHITE - 1.75L,LIQUOR
260,11770,JIM BEAM WHITE - 750ML,LIQUOR
261,11797,JIM BEAM WHITE - 200ML,LIQUOR
262,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES
263,11805,SILVER PEAK CABERNET - 750ML,WINE
264,11811,EVOLUTION NITRO RISE UP STOUT - 1/2K,KEGS
265,118176,ALTOS DE LAS HORMIGAS MAL - 750ML,WINE
266,11819,AMARULA FRUIT CREAM LIQUEUR - 750ML,LIQUOR
267,11835,JIM BEAM WHITE - 50ML,LIQUOR
268,11837,CANE RUM WHITE RUM - 750ML,LIQUOR
269,11838,RICH & RARE CANADIAN WHISKEY - 1.75L,LIQUOR
270,11840,RISATA RED MOSCATO - 750ML,WINE
271,11843,KENTUCKY GENTLEMAN - 750ML,LIQUOR
272,11844,SVEDKA VODKA STRAWBERRY LEMONADE - 1.75L,LIQUOR
273,11851,HEAVEN HILL BOURBON 4YR - 1.75L,LIQUOR
274,118540,NEDERBURG P/AGE - 750ML,WINE
275,11860,ELIJAH CRAIG BOURBON  - 750ML,LIQUOR
276,11873,EVOLUTION DELMARVA PURE PILS - 12.OZ 4/6NR,BEER
277,11874,EVOLUTION MULTIPACK IPA SAMPLER - 12.OZ 2/12,BEER
278,118834,DR HEYDEN OPP RIES KAB - 750ML,WINE
279,11886,JIM BEAM WHITE - 375ML,LIQUOR
280,11888,UNIBROUE A TOUT LE MONDE - 6/4 12.OZ NR,BEER
281,11894,HEAVEN HILL BOURBON 4YR - 1L,LIQUOR
282,119,BRUMATE WINE TUMBLER,STR_SUPPLIES
283,11911,FOUNDERS BACKWOODS BASTARD - 6/4 NR 12.OZ,BEER
284,119121,GRUET BRUT (NEW MEX) - 375ML,WINE
285,11918,RIGHT PROPER RAISED BY WOLVES - 1/2K,KEGS
286,119229,TROCADERO SPARK(BRUT) - 750ML,WINE
287,119241,VINA OTANO ROSADO 15 - 750ML,WINE
288,11940,WRAY & NEPHEW OVERPROOF - 750ML,LIQUOR
289,11946,UINTA RISE & PINE DARK ALE CAN - 12.OZ 4/6,BEER
290,119539,AVEROFF KATOGI RED - 750ML,WINE
291,11959,EARLY TIMES KENTUCKY WHISKEY - 1L,LIQUOR
292,119628,FATTORIA GALIGA CODIROSSO CHN - 750ML,WINE
293,119776,GIRARD CHARD RUSSIAN RIVER - 750ML,WINE
294,11986,SCHILD ESTATE SHZ BAROSSA VLY - 750ML,WINE
295,11987,EVOLUTION SOUTHERN PECAN PIE - 1/6K,KEGS
296,120,WHISKEY BARREL,STR_SUPPLIES
297,120073,BV CENTURY CHARD - 750ML,WINE
298,12017,OLD FORESTER BOURBON  86 PROOF - 750ML,LIQUOR
299,120200,DOM DES FONTANELLE S/BLC - 750ML,WINE
300,120413,OKUNOMATSU TOKUBETSU JUNMAI - 720ML,WINE
301,120618,BV CENTURY CELLARS CAB - 750ML,WINE
302,12064,EVOLUTION RUSSIAN IMPERIAL STOUT - 750ML,BEER
303,12068,OLD GRAND DAD BOURBON - 750ML,LIQUOR
304,120758,ROCCA DELLE MACIE CHIANTI CL - 750ML,WINE
305,120782,GOLAN HEIGHTS YARDEN GALILEE CAB - 750ML,WINE
306,120804,GOLAN HEIGHTS YARDEN GALILEE MER - 750ML,WINE
307,120820,GOLAN HEIGHTS YARDEN GALILEE S/BLC - 750ML,WINE
308,12101,ATLAS PONZI 1/6 KEG,KEGS
309,12103,WHITE CLAW HARD BL CHERRY SELTZER 4/6 CANS,BEER
310,12104,WHITE CLAW HARD RUBY GF SELTZER 4/6 CANS,BEER
311,121134,CHARLES DE FERE RES BDB - 750ML,WINE
312,12121,STONE PALE RIPPER - 1/2K,KEGS
313,121266,CYT MARQUES CASA CONCHA MER - 750ML,WINE
314,12127,FOUNDERS IMPERIAL STOUT - 6/4 12.OZ NR,BEER
315,121347,CAPARZO BRUN-MONT - 750ML,WINE
316,12135,EZRA BROOKS BOURBON CREAM - 750ML,LIQUOR
317,12136,EZRA BROOKS RYE - 750ML,LIQUOR
318,12138,AVA GRACE CHARD - 750ML,WINE
319,12139,AVA GRACE RED BLEND - 750ML,WINE
320,12141,CHAMPS DE PROVENCE ROSE - 750ML,WINE
321,12142,SUTTER HOME PINK MOSCATO - 187ML,WINE
322,12143,SUTTER HOME SANGRIA - 1.5L,WINE
323,12144,HOPES END RED BLEND - 750ML,WINE
324,12150,ECHO BAY S/BLANC - 750ML,WINE
325,1217,LINDEMANS OUDE KREIK CUVEE RENE 7%- 750ML,BEER
326,12184,LAGUNITAS HOP STOOPID - 12.OZ 4/6 NR,BEER
327,12193,VICTORY SOUR MONKEY 4/6 NR,BEER
328,12194,VICTORY SOUR MONKEY 1/2 KEG,KEGS
329,122,WHISKEY ROCKS T SHIRT,STR_SUPPLIES
330,12203,OLD CROW BOURBON - 1.75L,LIQUOR
331,12204,OLD LINE AGED CARIBBEAN RUM - 750ML,LIQUOR
332,12205,OLD LINE AGED CARIBBEAN RUM NAVY - 750ML,LIQUOR
333,12210,BLVD THE CALLING IPA 4/6 NR-12OZ,BEER
334,12220,OLD CROW BOURBON - 1L,LIQUOR
335,12224,KNAPPOGUE 16YR OLD - 750ML,LIQUOR
336,12225,DISTRICT MADE RYE WHISKEY - 750ML,LIQUOR
337,12227,21ST AMENDMENT BLAH BLAH IPA - CANS,BEER
338,122300,YALUMBA Y SERIES SHZ/VIOG - 750ML,WINE
339,122394,SANTA BARBARA P/NOIR - 750ML,WINE
340,122475,ZOLO MENDOZA MAL - 750ML,WINE
341,12262,OLD GRAND DAD BOURBON - 1.75L,LIQUOR
342,122688,LA CAPPUCCINA SOAVE - 750ML,WINE
343,122734,LA TERRE CHARD - 1.5L,WINE
344,122866,SAN VALENTINO P/GRIG - 750ML,WINE
345,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES
346,123250,NERVO D'AVOLA AFFRESHI - 750ML,WINE
347,12351,CH ST MICH COLD CREEK CAB 6/CS - 750ML,WINE
348,12353,GRAFT FARM FLOR - 6/4 12.OZ CAN,BEER
349,12359,21ST AMENDMENT BLOOD ORANGE - 12.OZ 4/6 CAN,BEER
350,123765,SANCERRE COTES DE REIGNY ROSE - 750ML,WINE
351,12378,REBEL YELL - 1.75L,LIQUOR
352,12385,BLVD TANK 7  4/6 NR - 12OZ,BEER
353,12394,REBEL YELL - 750ML,LIQUOR
354,124028,MARQUIS DE LA TOUR BRUT NV - 750ML,WINE
355,12406,AUSTIN CIDER VARIETY PACK - 2/12 12.OZ CAN,BEER
356,124109,LA VIELLE FERME CDL BLC - 750ML,WINE
357,124141,LA VIELLE FERME CDV RED - 750ML,WINE
358,12421,GLEN GRANT 12YR - 750ML,LIQUOR
359,12422,LEFT HAND TRAVELIN LIGHT - 12OZ CAN,BEER
360,12424,TEN HIGH BOURBON - 1.75L,LIQUOR
361,124524,IL BASTARDO SANG ROSSO TOSCANO - 750ML,WINE
362,124621,VALMINOR ALBARINO RIAS BAIXAS - 750ML,WINE
363,12475,BLOOD OATH BOURBON - PACT 5 -  750ML,LIQUOR
364,12480,KOSTRITZER - 6/4 16.OZ CAN,BEER
365,12483,KENTUCKY VANILLA CREAM ALE - 4/6 12.OZ,BEER
366,124974,J ROGET BRUT SPARK - 750ML,WINE
367,125148,RESERVA 1800 TEQUILA SILVER - 375ML,LIQUOR
368,125261,MARQUES DE CACERAS RIOJA ROSE - 750ML,WINE
369,12527,SVEDKA VODKA BLUE RASPBERRY - 750ML,LIQUOR
370,12528,CHRISTIAN BROTHERS BRANDY - HONEY - 750ML,LIQUOR
371,12529,CHRISTIAN BROTHERS BRANDY - PEACH - 750ML,LIQUOR
372,12530,WILD TURKEY 101 - 1L,LIQUOR
373,12533,AUSTIN CIDER BLOOD ORANGE - 4/6 12.OZ CAN,BEER
374,125369,YALUMBA Y SERIES UNWOOD CHARD - 750ML,WINE
375,12537,SOUTHERN TIER OVERPACK'D - 12.OZ,BEER
376,12548,WILD TURKEY 101 - 750ML,LIQUOR
377,12556,WILD TURKEY 81 - 750ML,LIQUOR
378,12566,TROEGS JAVAHEAD STOUT 4/6 NR,BEER
379,12571,GIRL & DRAGON P/GRIG - 750ML,WINE
380,12572,WILD TURKEY 101 - 375ML,LIQUOR
381,125725,P MASSON BRANDY VS - 100ML,LIQUOR
382,12577,ACE CIDER PINEAPPLE - 12OZ,BEER
383,125890,BELLEFON CUV BRUT ROSE 6/CS - 750ML,WINE
